Incident Type,Officer Action,Subject Behavior,De-escalation Tactic,Weapon Involved,Incident Outcome,Bodycam Transcript
Traffic Stop,Non-threatening Gestures,Aggressive,Requesting Cooperation,Blunt Object,Escalated to Force,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:12

**(00:00:00)  Ambient street noise – light traffic, distant sirens**

**(00:00:05) Officer Miller activates bodycam.**

**Officer Miller:** (Turning on lights)  ""Sir, pull over to the side of the road, please.  License and registration.""

**(00:00:12) Car pulls over slowly and erratically.**

**(00:00:18)  Engine shuts off.  Driver, Subject John Doe, exits the vehicle aggressively, slamming the door.**

**Subject Doe:** (Shouting) What the hell do you want?! I wasn't doing anything wrong!

**Officer Miller:**  (Calmly, hands visible at his sides) ""Sir, I observed you weaving across the lanes.  Could I see your license and registration, please?""

**(00:00:25)  Doe approaches the police car with clenched fists, and walks towards the Officer with increasing aggression. He has a metal pipe, about 3 feet long, loosely held at his side.**


**Officer Miller:** ""Sir, please keep your hands where I can see them.  I'm going to need to see your license and registration.""

**Subject Doe:** (Shouting)  ""I ain't giving you nothing! You got no right to stop me!""  (He raises the pipe slightly)

**(00:00:35)  Officer Miller takes a slight step back, maintains visual contact and keeps his hands visible.**

**Officer Miller:** ""Sir, I understand you're upset, but I need you to cooperate.  Put the pipe down slowly, please.  This isn't going to help the situation.""

**Subject Doe:** (Swinging the pipe slightly in a threatening manner) ""Get out of my face, pig!""

**(00:00:42) Doe takes a step forward, swinging the pipe. Officer Miller initiates a tactical takedown. A struggle ensues, with sounds of grunting and impact.  **(Audio becomes distorted during the physical altercation).**

**(00:01:05)  Sounds of struggling subside.**

**Officer Miller:** (Breathing heavily) ""Police!  Stay on the ground!""  (Radio chatter begins, unintelligible).

**(00:01:15) Backup arrives, the sound of more police officers, shouting instructions and securing the scene.**

**(00:01:30)  Additional officers cuff Doe.**

**Officer Miller (into radio):** ""Suspect in custody, Code 3, requesting medical and backup transport. Suspect armed with a blunt object, resisting arrest, possible injuries.""

**(00:01:40)  The remainder of the recording consists mostly of radio chatter and background noise as Doe is searched and medical personnel arrive on the scene.**


**(End of Recording)**
"
Domestic Dispute,Non-threatening Gestures,Cooperative,Maintained Distance,,Arrested Peacefully,"**Bodycam Transcript - Incident #20231027-0042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:12

**(00:00:00)  SOUND: Siren fades in and then fades out.  Sound of car doors opening and closing.**

**Officer Miller:** (Approaching the residence, maintaining a safe distance)  ""Ma'am, are you okay?  My name is Officer Miller, I'm with the Metro Police Department.  We received a call about a domestic disturbance at this address.""

**(00:00:15)  SOUND: Dog barking faintly in the distance.**

**Woman (Subject):** (Voice trembling slightly) ""Yes, officer. It...it was just an argument.  My husband and I...we got a little loud.""

**(00:00:22)  Officer Miller:** (Maintaining a calm, non-threatening tone and posture, hands visible) ""I understand, ma'am. Can you tell me what happened?""

**Woman:** ""We were arguing about...finances.  Things got heated.  He... he raised his voice.""

**(00:00:35) SOUND:  A male voice can be heard murmuring indistinctly from inside the house.**

**Officer Miller:** ""Ma'am, I'm going to need you to step outside for a moment, please. I just want to get a better understanding of the situation.""  (Officer Miller uses open hand gestures to indicate she should come outside, avoiding any sudden movements)

**(00:00:48) Woman:** (Steps out onto the porch) ""Okay, officer. I'll come out.""

**(00:00:55)  Officer Miller:** (Maintaining distance)  ""Thank you, ma'am. Can you tell me your name and date of birth, please?""

**Woman:** ""It's Sarah Jones, born July 14th, 1985.""

**(00:01:10) Officer Miller:** (Calmly) ""Ms. Jones, I understand arguments happen, but based on the call we received, I need to investigate further.  Can you describe what happened in more detail?""

**(00:01:25)  SOUND:  A car drives by in the distance.**

**Woman:**  (Narrates the argument, remaining cooperative and calm.  The details are omitted for brevity.)


**(00:02:40) Officer Miller:** (After listening attentively) ""Thank you for your cooperation, Ms. Jones. Based on your statement and the nature of the call, I'm going to need to place you under arrest for domestic assault. You have the right to remain silent..."" (Officer Miller proceeds to read Ms. Jones her Miranda rights).

**(00:03:30) Officer Miller:** ""Are you understanding your rights, Ms. Jones?""

**Woman:** ""Yes, officer.""

**(00:03:35) SOUND: Handcuffs clicking.**

**(00:03:40) Officer Miller:** ""Okay, Ms. Jones.  Please put your hands behind your back.""  (Officer Miller carefully handcuffs Ms. Jones.)  ""Are you alright?""

**Woman:** (Slightly upset but still cooperative) ""Yes, officer.""

**(00:03:55) Officer Miller:** (To backup arriving) ""Officer Davis, we're good here.  Domestic disturbance, subject is in custody.  No weapons involved.""

**(00:04:10) SOUND:  Police car doors opening and closing.  Sound of walking and radio chatter.**

**(00:04:20) Officer Miller:** (End of recording)
"
Disturbance Call,Pointed Weapon,Hostile,Maintained Distance,,Arrested Peacefully,"**Bodycam Transcript - Incident #20231027-045**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:12

**(00:00:00) [SOUND of police sirens in distance, then fading]**

**22:45:17** Officer Miller: (Approaching residence, knocking loudly) Police! Open the door! We've received a disturbance call.

**22:45:25** [SOUND of shouting and crashing from inside]

**22:45:32** Officer Miller: Police! Open up!

**22:45:38** [DOOR opens abruptly, revealing Subject, MARK JENKINS. He's visibly agitated, hands clenched.]

**22:45:40** Subject Jenkins:  What the hell do you want?! Get off my property!

**22:45:43** Officer Miller: Sir, we received a report of a disturbance.  Please calm down.

**22:45:45** Subject Jenkins: Disturbance?  It's my house! Get out!  (He lunges slightly, but stops when he sees Officer Miller’s hand on his weapon.)

**22:45:48** Officer Miller: (Draws weapon, maintaining distance) Sir, step back!  Keep your hands where I can see them! I'm going to ask you one more time to calm down.

**22:45:53** [SOUND of heavy breathing from Subject Jenkins]

**22:45:55** Subject Jenkins: (Muttering) Fine... fine... just... get out of my face.

**22:45:58** Officer Miller: (Maintaining distance, weapon still drawn) I need you to remain calm, sir.  What was the disturbance?

**22:46:02** Subject Jenkins:  It's none of your damn business!  My girlfriend... she... she left!

**22:46:08** Officer Miller: Sir, I understand you're upset, but throwing things and shouting is against the law.  Let's take a deep breath. I'm here to help.

**22:46:15** [SOUND of Subject Jenkins taking a deep, shaky breath]

**22:46:18** Officer Miller: Slowly put your hands up.  I'm going to holsters my weapon once you comply.

**22:46:22** [Subject Jenkins slowly raises his hands]

**22:46:26** Officer Miller: (Holsters weapon) Okay, good.  Now,  I'm going to ask you some questions.  Can you tell me what happened?

**22:46:30** [Subject Jenkins explains the situation in a calmer tone.  The dialogue is not transcribed for brevity, but it involves an argument with his girlfriend.]

**22:47:15** Officer Miller: Okay, sir. Based on your explanation and the call we received, I'm going to place you under arrest for disorderly conduct.  Do you understand your rights?

**22:47:20** Subject Jenkins:  Yes.

**22:47:23** [SOUND of handcuffs clicking]

**22:47:27** Officer Miller: You're going to be transported to the station.  Remain calm, and you'll be processed.

**22:47:32** Subject Jenkins: (Quietly) Yes, officer.

**(Rest of transcript shows Officer Miller leading Subject Jenkins to the police car and subsequent transport.  No further incidents occur.)**

**End of Transcript**
"
Disturbance Call,Defensive Positioning,Cooperative,Requesting Cooperation,,Arrested Peacefully,"**Bodycam Transcript - Incident #20231027-0412**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:15:00

**(00:00:00)  Audio: faint sirens in the distance, traffic noise.**

**Miller:** (Approaching the scene, slightly out of breath) Dispatch, unit 472 arriving at the scene, reported disturbance at 14 Maple Street.  Confirming address.

**(00:00:15) Audio: Door slams, muffled shouting inside the house.**

**Miller:** (Drawing weapon, maintaining a low profile)  Stay behind me, partner.  We're approaching cautiously.

**(00:00:30) Audio:  Footsteps on pavement, rustling of bushes.**

**Miller:** (Knocking firmly on the door) Police, open the door!

**(00:00:45) Audio: Door opens slowly, revealing a dishevelled man, approximately 60 years old.)**

**Miller:**  Sir,  are you [Subject Name]?

**Subject:** (Voice trembling slightly)  Yeah, that's me, officer.

**Miller:** (Lowering weapon slightly, maintaining a defensive stance) Sir, we received a call about a disturbance at this address. Can you tell me what's going on?

**Subject:**  (Muttering)  It's... it's nothing, officer. Just a little argument with my son. He's calmed down now.

**(00:01:10) Audio:  A young male voice can be heard faintly from inside the house, mumbling apologies.**

**Miller:**  Sir, I need you to step outside for me, please.  I need to make sure everything is alright. Your cooperation would be greatly appreciated.

**Subject:** (Hesitates, then sighs)  Okay, officer.  I understand.

**(00:01:30)  Subject steps outside; Officer Miller maintains a safe distance, weapon still partially drawn.  Both are visible on the recording.)**

**Miller:**  Sir, can you tell me what the argument was about?

**Subject:**  (Stammering) It's... it’s just family stuff.  We were arguing about money.  He's been having some trouble...

**Miller:** (Calmly) Sir, I need to place you in handcuffs for the time being.  This is for the safety of everyone involved, and to allow us to fully investigate the situation.  Do you understand?

**Subject:** (Nods slowly) Yes, officer.

**(00:02:00) Audio: Sounds of handcuffs clicking.**

**Miller:** (To backup officer, unseen on camera)  He’s cooperating fully, we can take him to the station.  No resistance.

**(00:02:15) Audio:  Footsteps, car doors closing. )**

**Miller:**  (To subject)  You’re under arrest for disturbing the peace. You have the right to remain silent... (continues reading Miranda rights).

**(00:02:50) Audio:  Car engine starts, drives away.)**

**Miller:**  Dispatch, unit 472 en route to the station with subject in custody.  Incident concluded.  No injuries reported.


**(End of Transcript)**
"
Suspicious Person,Defensive Positioning,Cooperative,Empathy Statements,Firearm,Arrested Peacefully,"**Bodycam Transcript - Incident #23-10-27-42**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:00

**(00:00:00)  Ambient sounds of crickets chirping and distant traffic. Officer Miller approaches a lone figure sitting on a park bench.  He draws his firearm and keeps it low, maintaining a tactical stance. His weapon is visible on the camera.**

**Officer Miller:** (Calmly) Sir, evening.  Can you please put your hands where I can see them?

**(00:00:05) The subject, a middle-aged man with dishevelled clothing, slowly raises his hands above his head. He appears visibly nervous.**

**Subject:** (Shaky voice)  Yes, officer.  I... I didn’t...

**(00:00:10)  Officer Miller slowly approaches, keeping his distance. The subject keeps his hands raised.**

**Officer Miller:**  It's okay, sir. Just take a deep breath. We got a report of a suspicious person in the park.  Can you tell me what you’re doing here?

**(00:00:15)  The rustling of leaves is heard as a slight breeze passes through the trees.**

**Subject:**  I... I was just... sitting.  Thinking. I... I lost my job today.

**(00:00:20) Officer Miller subtly adjusts his grip on his firearm, maintaining a defensive but less overtly threatening posture.**

**Officer Miller:** I understand, sir. Losing a job is tough.  It’s really upsetting.  That must be incredibly difficult.

**(00:00:25) The subject nods, his shoulders slumping slightly.**

**Subject:**  Yeah... it is.  I... I didn’t mean to cause any trouble.

**(00:00:30) Officer Miller slowly lowers his firearm slightly, but keeps it pointed in a safe direction.**

**Officer Miller:**  I know.  We just want to make sure everyone’s safe.  Can you tell me your name and date of birth, please?

**(00:00:35) The subject provides his name and date of birth. Officer Miller confirms the information through dispatch.**

**Officer Miller (to radio):** Dispatch, confirm Johnathan Davies, DOB 07/14/1978, for outstanding warrants.

**(00:00:40) Dispatch confirms outstanding warrants for Davies, including a bench warrant for failing to appear in court.**

**Officer Miller:**  Sir, I'm going to need to place you under arrest for an outstanding warrant.  It’s nothing personal, it's just procedure.

**(00:00:45)  Officer Miller holsters his weapon. He calmly and methodically handcuffs Davies, who offers no resistance.**

**Subject:**  Okay, officer.  I understand.

**(00:00:50) Officer Miller pats Davies down and secures him. He calls for backup.**

**Officer Miller (to radio):**  Backup requested, suspect in custody, location remains the same.  One male suspect, Johnathan Davies, compliant.  Requesting transport.

**(00:01:00) Backup arrives. Davies is escorted to a police vehicle. Ambient sounds of the officers talking and securing Davies in the car.**

**(00:01:15) Officer Miller ends the recording.**
"
Welfare Check,Physical Restraint,Armed and Hostile,Calming Language,Taser,Escalated to Force,"**Bodycam Transcript - Incident #WC23-10-27**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:43:12

**(00:00:00) Audio: Static, faint sirens in the distance.  Officer Miller approaches a dimly lit apartment building.**

**Officer Miller:** (Knock knock)  Dispatch, this is Unit 472, at the address for the welfare check, apartment 3B.

**(00:00:15) Audio: Door creaks open.  A male voice shouts from within.**

**Subject (John Doe):** What the hell do you want?! Get away from my door!

**Officer Miller:** (Calmly) Sir, this is Officer Miller with the city police. We received a call expressing concern for your well-being.  Can we please come in and talk?

**(00:00:28) Audio:  Sound of shuffling and a metallic clang.  John Doe appears in the doorway, holding a large kitchen knife.**

**Subject (John Doe):** Get lost! I don't need your help!  Go away!

**(00:00:35) Officer Miller:** Sir, please put the knife down. We're just here to help.  You’re clearly upset, and we want to understand what's going on.  Let's talk about it, okay?

**(00:00:42) Subject (John Doe):** (Shouting)  Stay back!  I'll cut you! You think you can just walk in here?

**(00:00:48) Audio: Officer Miller takes a tactical stance.  His breathing becomes heavier.**

**Officer Miller:**  Sir, I understand you're angry, but you need to put the knife down.  This isn’t going to solve anything.  Let’s find a way to calm things down.

**(00:00:55) Subject (John Doe):** (Lunges slightly, knife still raised)  You're going to regret this!

**(00:01:00) Audio:  Taser deployment.  A sharp crack followed by a subdued grunt from John Doe. He drops the knife.**

**Officer Miller:**  Police!  Get on the ground! Hands behind your head!

**(00:01:07) Audio: Sounds of struggling and rustling. Officer Miller shouts commands while attempting to restrain the subject.**

**Officer Miller:**  Stay still!  Stop resisting!

**(00:01:15) Audio:  More struggling, then silence.**

**Officer Miller:** (Breathing heavily) Dispatch, requesting backup at apartment 3B. Subject is restrained, but resisting arrest.  Welfare check escalated to use of force.  One Taser deployment.  Suspect is armed, possibly under the influence of something.

**(00:01:30) Audio:  Sound of approaching police sirens.**

**(00:01:45)  Officer Miller:** (To another officer arriving on scene) He’s secured, but needs medical attention.  And the knife is over there.

**(00:02:00) Audio: Continued communication with other officers and emergency medical services arriving on scene. The recording continues for several more minutes documenting the situation and the subsequent arrest.**

**(End of Transcript)**
"
Traffic Stop,Defensive Positioning,Cooperative,Offering Assistance,Knife,Arrested Peacefully,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Time:** 20:47:12

**(Initiating recording)**

**20:47:15**  (Sound of police siren fading out)

**Officer Miller:**  Sir, pull over to the side of the road safely.

**20:47:22** (Car pulls over smoothly)

**Officer Miller:** (Approaching vehicle, hand on holster) License and registration, please.  Evening sir.

**Subject (David Chen):**  Good evening, officer.  Just a second. (Rustling sounds) Here you go.

**20:47:35** (Officer Miller checks documents)

**Officer Miller:** Thank you, sir.  I noticed you seemed to be having a bit of trouble maintaining your lane a few blocks back.  Have you been feeling alright this evening?

**David Chen:**  Yes, officer, I'm... I'm a little distracted. I just had a bad day, really stressful.

**20:47:50** (Officer Miller notices a small, partially visible knife in the subject’s open center console)

**Officer Miller:** (Maintaining a calm, but firm tone, slightly shifting his stance to a more defensive position) Sir, I'm going to need you to keep your hands where I can see them. I noticed something in your console. Can you please explain?

**David Chen:** (His voice slightly trembling) Oh, that's... That's just a knife, officer. I use it for work. I... I forgot I left it there.

**20:48:05** (Officer Miller subtly keeps his eyes on the knife while maintaining eye contact with David Chen)

**Officer Miller:**  I understand, sir.  But for my safety, and yours, I'm going to need you to leave it where it is.  It's alright, sir, take a deep breath.  Sometimes a stressful day can make us a little forgetful.

**(Officer Miller subtly adjusts his position, maintaining a tactical but non-threatening posture)**

**20:48:20**

**Officer Miller:** Look, I’ve had a stressful day too.  Sometimes, a little help can make a big difference. Can I assist you with anything at this moment? Maybe we could get this sorted quickly.  

**David Chen:** (Sighs deeply) Yes, officer.  I'm sorry.  I'm just really upset.  I didn’t mean to cause any trouble.

**20:48:37**

**Officer Miller:**  It’s okay, sir. Let’s just get your information sorted, and then we can figure out a way to get you home safely without any further incident.

**(Officer Miller continues with the paperwork and communicates with dispatch, ensuring backup is en route)**

**20:49:02**

**Officer Miller:**  Okay, sir.  I’m going to need you to step out of the vehicle slowly with your hands visible at all times.

**(David Chen complies, and exits the vehicle slowly with his hands raised.)**

**20:49:15**

**Officer Miller:** (Officer secures David Chen safely and handcuffs him)  You're going to be arrested for unsafe driving and possession of a concealed weapon.  You understand your rights, right? You have the right to remain silent, anything you say can and will be used against you...

**(Officer Miller completes the arrest procedure, ensures David Chen's safety and maintains a calm demeanor throughout.)**

**(End of recording)**
"
Traffic Stop,Defensive Positioning,Threatened Officer,Non-threatening Gestures,Taser,Not Injured,"**Bodycam Transcript - Incident #23-10-2749**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:12

**(00:00:00) [Ambient city street noise, distant sirens]**

**(00:00:05) Officer Miller:** (activating lights and siren)  ""Sir, pull over to the side of the road, please.  License and registration.""

**(00:00:15) [Car pulls over with a squeal of tires]**

**(00:00:20) Officer Miller (approaching vehicle):** ""Good evening, sir. Can I see your license and registration, please?""  **(Officer maintains a safe distance, hand resting visibly on holstered weapon.)**

**(00:00:25) Subject (through slightly rolled down window):** ""What's the problem, officer? I wasn't speeding.""

**(00:00:28) Officer Miller:** ""Sir, your tail light is out.  May I see your license and registration?""

**(00:00:32) Subject:** ""I know it's out.  I'll fix it.  What's the big deal?  Leave me alone!""

**(00:00:35) Officer Miller:** (calmly) ""Sir, I need to see your license and registration.  I just need to verify your information.  Please, reach for them slowly.""  **(Officer adopts a slightly wider stance, non-threatening, open hand gestures)**

**(00:00:40) Subject:**  ""You're gonna have to arrest me first.  I ain't giving you anything. You think you're tough?  I'll show you tough.""  **(Subject reaches into his glove compartment quickly.)**

**(00:00:43) [Officer Miller draws his taser, maintaining a safe distance, aiming at subject's chest.  Sound of taser activation.]**

**(00:00:45) Officer Miller:** ""Sir, get your hands up!  I'll say it again, get your hands up slowly.  I have my taser drawn.  Put your hands up!""

**(00:00:48) Subject (slowly raises his hands):** ""Alright, alright, I'm putting my hands up.  Jeez, I was just looking for my registration!""  **(Subject shows his hands and his registration in his hands.)**

**(00:00:52) Officer Miller (lowering his taser slowly):** ""Okay, sir, good. Can I see your license now, please?""

**(00:01:00) [Subject produces driver's license.  Sound of license being scanned]**

**(00:01:10) Officer Miller:**  ""Okay, sir.  Your tail light needs to be repaired immediately.  I'm issuing you a warning.  Have a good night.""

**(00:01:15) Subject:**  ""Yes, officer.  Thank you.""

**(00:01:20) [Officer Miller returns to his vehicle.  Sound of car door closing.]**

**(00:01:25) Officer Miller (into radio):** ""Unit 472, clear.  10-42 on [Address] completed.  No injuries.  Issuing warning for tail light.  Subject appeared initially non-compliant but complied after taser was deployed.""

**(00:01:40) [Ambient city street noise continues.]**

**(END OF TRANSCRIPT)**
"
Traffic Stop,Non-threatening Gestures,Armed and Hostile,Non-threatening Gestures,Firearm,Arrested Peacefully,"**Bodycam Transcript - Officer Miller - Incident #23-10-274**

**00:00:00** [Silence, faint traffic noise]

**00:00:05** Officer Miller: (activating bodycam) Unit 7, initiating traffic stop at intersection of Elm and Maple. Suspect vehicle is a blue sedan, license plate ABC-1234.  

**00:00:10** [Siren activation, then fades]

**00:00:15** Officer Miller: (Approaching vehicle, hand on holster, open palm facing the driver) Sir, please keep your hands visible. License and registration, please.

**00:00:20** Subject (male voice, strained): (Muffled sounds, possible fumbling)  What...? What's going on?

**00:00:23** Officer Miller: Sir, you were speeding and ran a red light.  License and registration, please.  (Slow, deliberate movements, maintaining open palm gesture)

**00:00:28** Subject: (Slightly louder, agitated) I... I don't have them. I'm... I'm looking.

**00:00:32** [Sound of something metallic clinking inside the car]

**00:00:35** Officer Miller:  Sir, please keep your hands where I can see them.  I’m just going to ask again for your license and registration.  (Maintaining open, non-threatening posture, slowly backing away a step)

**00:00:40** Subject: (Voice rising in pitch, clearly agitated)  Just... just leave me alone!

**00:00:42**  [Subject slowly raises his right hand, revealing a handgun in his waistband.  Officer Miller subtly shifts his weight, but keeps his hands visible]

**00:00:45** Officer Miller: (Calm, low voice)  Sir, please put the weapon down slowly.  Please.  (Continues to keep his hands visibly empty,  palm facing upwards)

**00:00:48** Subject: (Shouting)  Stay back!  Don't... don't come any closer!

**00:00:52** Officer Miller: (Maintaining distance, voice calm but firm)  I understand you’re upset, sir.  Just put the gun down slowly.  Nobody has to get hurt. We can talk about this.  (Slow, deliberate head movements suggesting calm and reassurance)

**00:00:58** [Subject hesitates, visibly breathing heavily]

**00:1:03**  Officer Miller: (Very quietly, gently) Slowly, sir.  Put it down.  (Pause) It’s okay. Just put it down.

**00:01:10** [Subject slowly lowers the gun onto the passenger seat. His hands are still visible.]

**00:01:15** Officer Miller: (Calmly) Good. Now, slowly reach for the door handle and step out of the vehicle. Hands up, please.  (Officer maintains a non-threatening posture but is also in a tactical position)

**00:01:22** [Subject exits the vehicle slowly, hands raised above his head]

**00:01:25** Officer Miller:  Keep your hands where I can see them.  (Officer instructs backup officers to arrive, on radio) Unit 7, request backup, code 3, Elm and Maple. Suspect is complying.  

**00:01:30** [Backup units arrive. Subject is handcuffed without further incident]


**00:01:40** Officer Miller: (To Subject) You’re under arrest for reckless endangerment, resisting arrest, and weapons violations. You have the right to remain silent... (Rest of Miranda rights are read.)


**00:02:10** [End of recording]
"
Domestic Dispute,Pointed Weapon,Cooperative,Maintained Distance,,Arrested Peacefully,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:12

**(00:00:00) [SOUND of police car door closing, faint sirens in the distance]**

**Officer Miller:** (Approaching residence)  Dispatch, this is Unit 472, arriving at 14 Maple Street for a domestic disturbance.  We're at the front door.

**(00:00:15) [SOUND of knocking on a door]**

**Officer Miller:** (Loudly) Police!  Open the door!

**(00:00:22) [SOUND of door opening]**

**Officer Miller:**  Sir, I'm Officer Miller.  Can you tell me what's going on? Please keep your hands where I can see them.

**Subject (John Smith):**  (Voice trembling)  Officer, it's... it's my wife. We got into an argument.  It's all my fault.

**(00:00:30) [SOUND of a woman crying faintly from inside the house]**

**Officer Miller:** Sir, I need you to step outside for me.  Please keep your hands visible.

**John Smith:**  (Steps out slowly, hands raised)  Yes, officer. I understand.

**(00:00:40)  Officer Miller:** (Maintaining distance, weapon drawn but pointed down)  Sir, I need you to tell me what happened. Please be calm and concise.

**John Smith:** We were arguing about the bills.  I... I raised my voice. I didn't touch her, I swear.

**(00:00:55)  Officer Miller:** I understand, sir.  But we have a report of a disturbance. Can you step away from the door, please?

**John Smith:** (Steps back, keeps hands visible)  Of course, officer.  I just... I'm sorry.

**(00:01:10) [SOUND of backup units arriving]**

**Officer Miller:** Backup is here. We're going to need to speak with your wife as well, sir.  She'll confirm that you didn't get violent.

**John Smith:**  That's fine. Please, she's very upset.

**(00:01:25) Officer Miller:** (To backup officers)  Unit 472, suspect is cooperating.  No weapons observed.  We'll be handling this one.

**(00:01:35) [SOUND of Officer Miller talking to John Smith, mostly inaudible]**

**(00:02:00) Officer Miller:**  Sir, I'm going to place you under arrest for disorderly conduct. You have the right to remain silent... (Continues with Miranda Rights)

**John Smith:** (Quietly)  I understand my rights, officer.

**(00:02:30) [SOUND of handcuffs clicking]**

**(00:02:45) Officer Miller:**  Backup, can you secure the suspect? We'll be heading to the station.

**(00:02:50) [SOUND of muffled conversation and walking]**

**Officer Miller:** (To camera)  Suspect is in custody without incident.  The incident was a verbal domestic dispute. No weapons were involved.  Suspect was cooperative throughout the entire interaction.  We're proceeding to the station for processing.  End of incident report.

**(00:03:00) [End of recording]**
"
Suspicious Person,Requested Backup,Attempted to Flee,Verbal Warning,Firearm,Injured,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Time:** 23:57:12

**(Audio: Distant sirens, light traffic noise)**

**Officer Miller:** (To dispatcher) Unit 472, requesting backup to 14 Elm Street. Suspicious person report. Male, dark clothing, appears to be concealing something under his jacket.

**(Audio: Footsteps approaching)**

**Time:** 23:57:48

**Officer Miller:** (To subject) Sir, can I have a word with you? Please stop.

**(Subject makes a sudden movement, hand appearing to go towards his waistband)**

**Time:** 23:57:52

**Officer Miller:** (Drawing weapon) Police! Get on the ground! Hands where I can see them!

**(Audio: Sound of a weapon being drawn, heavy breathing)**

**Time:** 23:57:55

**Subject:** (Mumbling indistinctly, attempting to run)**

**Time:** 23:57:57

**Officer Miller:** (Shouting) Stop! Police! I will shoot!

**(Audio: Sound of feet running on pavement, Officer Miller shouting additional warnings)**

**Time:** 23:58:02

**(Sound of a gunshot.  A brief scream.)**

**Time:** 23:58:05

**Officer Miller:** (Breathing heavily, radio crackling with static) Unit 472, shots fired! Suspect down! Requesting immediate medical assistance! Repeat, requesting immediate medical! Suspect appears to be armed.  Suspect is bleeding heavily from his leg.  He's... he's trying to reach for something again. I need backup here NOW.

**(Audio: Loud sirens approaching, more shouting in the distance)**

**Time:** 23:58:18

**Officer Miller:** (To unseen backup officers) He had a handgun. It's on the ground near his left hand.  Secure the weapon.  And keep your eyes on him. He's still moving.

**(Audio: More shouting, sounds of officers securing the scene, and medical personnel arriving.)**

**Time:** 23:58:42

**Officer Miller:** (To medical personnel) He was resisting arrest.  I gave him multiple verbal warnings before discharging my weapon. I fired one shot.  He was attempting to flee and appeared to be armed.

**(Audio: Medical personnel attending to the subject, continued radio chatter.)**


**Time:** 23:59:00

**(End of recording)**


**Note:** This transcript is a fictional representation of a possible scenario and should not be interpreted as a factual depiction of police procedure or a legal assessment of the incident.  The use of force by law enforcement is a complex issue with strict legal guidelines.
"
Suspicious Person,Physical Restraint,Threatened Officer,Non-threatening Gestures,Firearm,Escalated to Force,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 23:47:12

**(00:00:00)  [SOUND of police car approaching, siren fading]**

**00:00:12** Miller: (Approaching subject)  Sir, can I talk to you for a moment?  You're matching the description of someone we're looking for.

**00:00:17**  Subject: (Mumbling, agitated)  Stay back.  I ain't doin' nothin'.

**00:00:20** Miller: I understand, sir.  Just need to ask you a few questions.  What's your name?

**00:00:23** Subject: (Voice rising) I told you to stay back!  Get away from me!  (Reaches into his jacket pocket)

**(00:00:25) [SOUND of Miller drawing weapon, audible click]**

**00:00:26** Miller: (Calm, but firm)  Sir,  keep your hands where I can see them!  Slowly.  Show me your hands.

**00:00:29** Subject: (Loudly) You think you can scare me? You're gonna get shot! (He pulls a handgun partially out of his jacket, pointing it loosely towards the ground)

**00:00:32** Miller: (Slowly lowers his weapon slightly, while keeping it trained on the subject, uses open palms and slow movements)  Sir, put the gun down.  Put it down slowly.  Nobody needs to get hurt.   Just put it down.

**00:00:37** Subject: (Swings his weapon up, pointing it at Miller) Get away from me!  I’m warning you!

**(00:00:38) [SOUND of a struggle, grunts, thud]**

**00:00:41** Miller: (While struggling)  Get on the ground!  Get on the ground now!

**(00:00:45) [SOUND of continued struggle, muffled shouts, and the sound of a taser deploying]**

**00:00:50** Miller: (Slightly out of breath)  Backup, Code 3!  Suspect is resisting arrest!  Shots fired, suspect down, request EMS!

**(00:00:55-00:02:00) [SOUND of ongoing police activity, sirens approaching, multiple voices shouting commands and instructions]**

**00:02:00** Miller: (To another officer approaching) He had a .38 special.  He threatened me, refused to comply with orders.  I used my taser, then had to take him down physically. He was resisting arrest violently.

**(00:02:10) [SOUND of handcuffs clicking, ongoing medical assistance]**

**00:02:15** Miller: (To EMS) Keep an eye on him.  He was armed.  He was very agitated and I had reasonable fear of my safety.


**(End of Transcript)**
"
